State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.70972	5.47941	6.58612	8.52908	11.80342	16.70036	24.07281	33.95407	44.87961	53.00928	60.54816	64.72533	62.77404	56.59150	46.11113	33.49641	23.29479	16.50481	11.84086	8.90353	6.78582
2	3.98859	4.20334	4.44097	4.60667	4.60013	4.48131	4.07035	3.44900	2.82657	2.52353	1.84768	1.22089	1.41165	1.83024	2.37201	2.98681	3.57545	3.91883	4.04201	3.95589	3.82508
3	3.48814	3.78850	4.25039	4.71732	5.36851	6.00960	6.44625	6.57497	5.92126	4.74004	3.86674	3.33166	2.95811	2.92277	3.21303	3.87179	4.12166	4.18729	4.12923	4.09642	4.03332
4	2.93933	3.34952	3.90820	4.54237	5.05323	5.53137	5.86104	6.01455	6.03468	6.33163	6.34925	6.06739	6.03216	6.54554	7.85414	9.12500	9.42950	8.79533	7.80633	6.73931	5.86355
5	1.92875	1.86995	1.78584	1.67302	1.53490	1.35592	1.16241	0.94309	0.74035	0.60223	0.51574	0.50650	0.55727	0.66446	0.83506	1.04703	1.22891	1.37917	1.50225	1.58892	1.65114
6	2.24532	2.22404	2.15487	1.99525	1.76646	1.67069	1.44190	1.32485	1.27696	1.28760	1.51639	1.58024	1.61749	1.55896	1.62281	2.06442	2.89977	3.76704	4.61835	5.21958	5.62927
7	0.72909	0.67678	0.61622	0.55473	0.51114	0.47352	0.43957	0.41708	0.40699	0.38909	0.35468	0.35560	0.37212	0.40194	0.46939	0.52353	0.63824	0.78507	0.95025	1.11222	1.24850
8	1.03644	0.93358	0.83539	0.78240	0.73720	0.69356	0.66862	0.66862	0.69668	0.74188	0.84474	0.89306	0.88994	0.89773	0.89462	0.92423	0.95540	0.99280	1.07697	1.25620	1.49934
9	0.90773	0.88386	0.88685	0.90773	0.89778	0.87492	0.90276	0.96937	1.05089	1.18114	1.35612	1.43864	1.34916	1.22886	1.12248	1.02703	0.98329	0.95943	0.94551	0.94650	0.93656
10	0.49942	0.49403	0.48479	0.47424	0.46187	0.44675	0.42451	0.39417	0.36110	0.33024	0.30342	0.29480	0.30481	0.32152	0.33784	0.35412	0.36591	0.37463	0.38156	0.38796	0.39364
