state (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.73760	67.58213	9.60992	1.73617	2.79079	60.54586	25.33678	0.25790
2	2.81522	0.72372	1.09830	1.47996	1.71313	1.84774	3.27787	0.34635
3	1.21586	2.31921	1.73009	1.52742	1.79313	3.86686	4.26054	0.22327
4	1.21945	13.16227	2.40856	1.60017	1.55403	6.34944	6.03541	0.44844
5	17.95218	0.27093	1.00000	1.46184	1.20592	0.51575	1.22328	0.51709
6	0.57677	2.43388	7.03491	2.22656	5.03397	1.51644	2.13875	0.13924
7	6.68822	0.28707	3.14771	2.21846	3.21763	0.35469	0.59828	0.32725
8	1.96899	2.47699	7.71134	2.26551	5.08421	0.84477	0.94339	0.17884
9	3.08663	2.50505	1.23556	0.76625	1.06231	1.35616	1.09237	1.22301
10	63.73909	0.13252	0.35645	0.65194	0.46567	0.30343	0.42547	1.29179
Base	100	0.68328	2.44878	42.07742	0.00093	0.00105	3.41075	36.85684
