State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.67480	3.64648	3.50841	3.43406	3.26059	3.10128	3.03755	2.97383	3.01631	2.95259	2.89240	2.97737	3.04817	3.06587	3.04109	3.03401	3.00569	2.91010	2.91718	2.94196	2.93134
2	1.58302	1.59632	1.59632	1.72669	1.76127	1.75861	1.75595	1.79054	1.87301	1.97678	2.07788	1.91824	1.89696	1.96347	1.96879	1.96879	1.99806	2.08054	1.98210	1.89696	1.98742
3	1.31120	1.23739	1.33291	1.31554	1.38935	1.46750	1.54565	1.45448	1.38501	1.38501	1.35896	1.57605	1.58473	1.51960	1.55868	1.51092	1.48921	1.48921	1.52394	1.52394	1.45882
4	1.00567	1.03540	1.01186	0.99700	1.00691	1.01682	1.00072	0.99948	0.96356	0.93755	0.87191	0.93384	0.91154	0.92764	0.99576	1.00319	1.03292	1.06140	1.03787	1.04406	1.04530
5	1.17218	1.16795	1.17185	1.16746	1.16990	1.17429	1.18371	1.19606	1.21523	1.23262	1.25992	1.27665	1.30736	1.33775	1.36635	1.40242	1.44158	1.47635	1.52152	1.55321	1.57807
6	4.66209	4.88149	5.47110	5.71792	5.48482	5.73163	5.77277	5.95103	5.30656	4.62096	4.11361	4.88149	4.79921	4.44270	4.33301	4.29187	3.85308	3.34574	3.41430	3.07150	2.61900
7	3.30073	3.30335	3.27395	3.24245	3.23878	3.20885	3.19152	3.20780	3.25663	3.35060	3.41728	3.24245	3.18470	3.09912	3.03665	2.96840	2.89227	2.80459	2.70012	2.61507	2.55574
8	6.22807	6.23729	6.27417	6.36406	6.36176	6.40786	6.31566	6.05059	5.63799	5.05483	4.45784	4.63763	4.41635	4.28497	3.96227	3.68337	3.40216	3.22698	3.04028	2.95499	2.82361
9	0.36796	0.35527	0.37853	0.36584	0.39122	0.39545	0.39333	0.39333	0.39968	0.41448	0.42717	0.43563	0.47158	0.49272	0.51810	0.53713	0.54347	0.57097	0.57308	0.56251	0.57520
10	0.51578	0.51594	0.51583	0.51716	0.51766	0.51822	0.51972	0.52094	0.52171	0.52227	0.52410	0.52565	0.52621	0.52737	0.52848	0.53014	0.53197	0.53342	0.53575	0.53874	0.54024
