State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.69014	4.81107	4.94235	5.01836	5.04428	4.87153	4.60204	4.13907	3.50854	3.11640	2.79854	2.62924	2.89355	3.35133	3.80221	4.22890	4.60031	4.82143	4.99591	5.01664	4.96136
2	0.67361	0.65771	0.63790	0.61239	0.57871	0.53640	0.48459	0.41896	0.36602	0.33343	0.31682	0.31203	0.32002	0.33570	0.35988	0.38573	0.41531	0.44126	0.46263	0.48293	0.49767
3	1.09249	1.09656	1.08437	1.06000	1.04376	1.08437	1.08437	1.12498	1.16154	1.18997	1.25495	1.26713	1.18184	1.15341	1.14123	1.17778	1.19403	1.24682	1.27525	1.28744	1.30774
4	1.25448	1.08097	0.98381	0.91093	0.83632	0.80162	0.76518	0.75477	0.76345	0.82418	0.90052	0.97513	1.00116	1.02892	1.01157	1.03065	1.07403	1.17987	1.36553	1.57027	1.91382
5	1.58237	1.50400	1.38535	1.22705	1.07092	0.89032	0.72118	0.56876	0.47831	0.42905	0.39993	0.39528	0.42069	0.46529	0.55234	0.75091	1.02569	1.33919	1.62915	1.88100	2.06904
6	4.40930	5.12981	5.77643	6.13360	5.79490	5.43156	4.86501	3.99670	2.85126	2.12459	1.81668	1.66272	1.75510	2.16154	3.15918	5.77027	8.65232	9.99482	10.79539	10.42590	9.26815
7	3.71515	3.93645	4.10411	4.54671	4.60035	4.78142	4.54671	4.18458	3.54080	2.89031	2.54159	2.38065	2.08558	2.07888	2.17947	2.73607	3.21891	3.97669	4.33211	4.54000	4.64059
8	3.49564	3.69125	3.83758	4.10487	4.26166	4.26913	4.05111	3.57776	2.93418	2.94762	2.54445	1.49173	1.53802	1.79336	2.12336	2.56386	2.98047	3.33138	3.54193	3.57478	3.56582
9	5.36511	6.25194	7.64439	9.54244	12.92924	17.55600	24.66268	33.97639	43.55896	46.88557	50.50511	58.10536	54.61823	46.36390	37.48357	29.26937	22.44360	17.01829	13.00148	10.32895	8.28242
10	5.12502	6.22168	7.94269	10.20117	13.06771	16.81375	20.07117	23.81178	25.83682	29.01824	29.71858	24.58271	26.89548	32.25395	35.75025	33.85551	28.24188	22.17764	16.52601	12.11762	9.51168
