State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.83540	1.83848	1.84363	1.84363	1.85289	1.82408	1.82408	1.81482	1.81585	1.81276	1.83025	1.81791	1.82202	1.81379	1.81482	1.80042	1.81997	1.82408	1.83540	1.86215	1.84774
2	0.48749	0.48759	0.48778	0.48825	0.48963	0.49134	0.49328	0.49561	0.49926	0.50339	0.50980	0.51350	0.51729	0.52251	0.52721	0.53239	0.53718	0.54235	0.54600	0.55084	0.55663
3	0.95675	0.97006	0.97937	0.98869	0.98603	0.99268	0.99401	1.00998	1.02062	1.00599	0.98470	0.98603	0.99135	0.98470	0.99135	0.97139	0.97937	0.99667	1.01663	1.01131	1.01530
4	4.81997	4.84539	4.85706	4.85088	4.82203	4.80418	4.76022	4.71489	4.59333	4.45872	4.26985	4.13317	3.94430	3.75543	3.56313	3.37563	3.21698	3.08855	2.92509	2.83100	2.76300
5	1.76286	1.74877	1.74843	1.76011	1.76629	1.76836	1.78107	1.78588	1.83363	1.89479	1.97931	2.00130	2.04940	2.09543	2.15487	2.21981	2.24351	2.25588	2.29677	2.29677	2.28508
6	1.11089	1.17788	1.18160	1.15369	1.17974	1.20766	1.26348	1.25045	1.31744	1.29139	1.25604	1.28953	1.33233	1.36954	1.40490	1.34535	1.44770	1.42351	1.42351	1.49608	1.48491
7	3.69558	3.72028	3.71534	3.94261	4.02166	4.22917	4.34280	4.48114	4.48114	4.47620	4.28351	4.46632	4.46632	4.28351	4.07601	3.89815	3.76969	3.73016	3.65111	3.61159	3.49301
8	1.53999	1.52937	1.57185	1.52140	1.51609	1.52937	1.45768	1.51344	1.47095	1.52671	1.60371	1.64354	1.75771	1.88516	1.92764	2.01260	1.99667	2.09226	2.12943	2.09757	2.15864
9	4.41160	4.31165	4.18757	4.02214	3.90495	3.73263	3.67059	3.58098	3.42933	3.30181	3.23287	3.23977	3.16739	3.19496	3.22943	3.31215	3.36384	3.48447	3.50171	3.45345	3.42933
10	3.28823	3.18938	3.12174	3.09052	3.05930	3.03329	2.91362	2.83038	2.70551	2.58064	2.27887	2.25806	2.26846	2.29448	2.28927	2.37252	2.36212	2.23204	2.29968	2.34130	2.52861
