state (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.98207	42.77419	6.65423	1.58493	2.89270	40.45511	17.83648	0.27536
2	1.30681	3.53777	1.70608	1.65751	2.07809	4.08385	3.75125	0.42212
3	0.80079	1.00730	1.42273	1.86754	1.35910	2.14227	2.65766	0.31258
4	2.80725	2.13397	1.09676	1.92265	0.87200	1.62997	3.00576	0.45060
5	21.39756	0.83315	1.07256	1.45305	1.26005	0.74006	1.26910	0.60549
6	0.25356	0.63095	6.56487	2.25095	4.11404	1.53712	1.50288	0.25583
7	6.62239	0.50473	3.54510	2.22076	3.41658	0.34478	0.56742	0.37808
8	1.50839	0.99079	7.84876	2.27625	4.45600	0.71006	0.66602	0.27527
9	1.64412	0.13699	0.39858	0.58032	0.42721	0.13813	0.19247	1.29143
10	62.67705	0.37530	0.42170	0.61630	0.52415	0.46006	0.54884	1.26999
Base	100	0.68328	2.44878	42.07742	0.00093	0.00105	3.41075	36.85684
