state (Emission order)	H3K27me3	H3K4me3	H3K9ac	H3K27ac	H3K4me1	H3K36me3	H3K9me3
1	0.2501794490213165	0.003701686792956046	0.0024033441943154773	0.0048688650604743556	0.03258475398787137	0.0029840142720571334	0.005618451395000479
2	0.003633972591152629	1.6067475008838813E-4	4.739392694795161E-4	3.871466924097584E-4	0.0012595018997836969	3.466430793766013E-4	0.006092165225566816
3	0.006870512437096334	0.019363499711635136	9.37715273434783E-4	0.0025924177424008483	0.004466758781269878	0.03136231583750802	0.3963931475493791
4	6.480124104776931E-4	0.0019204737594207245	0.005458039051740763	0.023722156306326535	0.030432621566749096	0.7036365198387614	0.013033272710357407
5	4.0321594298534764E-4	3.089365227460615E-4	0.0021121439145110636	0.0023033696096692456	0.00794286364879172	0.059460489725030444	0.0015463959512108459
6	0.0036736285385859033	0.028283201887813556	0.029625553922463636	0.02629606061627832	0.5862229229663638	0.022655814734008246	8.367441576542799E-4
7	0.0029230890304464763	0.1389818080309551	0.3180632354888881	0.8002848844995887	0.8822463240328947	0.16277869058849126	0.001974211340349061
8	0.004782175806180427	0.018012286302918214	0.0348865819231779	0.325207143730074	0.10345128736855065	0.004283408262417954	0.0012669814737437126
9	0.015590765807726562	0.9760678244877453	0.8476741404482387	0.9337309365120204	0.3478458128964452	0.010957086717591812	0.0019479811670537611
10	0.17877158376484664	0.8168101430510465	0.3494785601130078	0.0945025590576006	0.5006480133600868	0.01791582016782395	0.03014963657393068
